SA3 code,SA3 name,SA3 group
0,National,National
1,Major cities - higher SES,Major cities - higher SES
10102,Queanbeyan,Major cities - higher SES
10103,Snowy Mountains,Outer regional
10104,South Coast,Outer regional
10105,Goulburn - Mulwaree,Inner regional
10106,Young - Yass,Inner regional
10201,Gosford,Major cities - medium SES
10202,Wyong,Major cities - lower SES
10301,Bathurst,Inner regional
10302,Lachlan Valley,Outer regional
10303,Lithgow - Mudgee,Inner regional
10304,Orange,Inner regional
10401,Clarence Valley,Inner regional
10402,Coffs Harbour,Inner regional
10501,Bourke - Cobar - Coonamble,Remote (incl. very remote)
10502,Broken Hill and Far West,Remote (incl. very remote)
10503,Dubbo,Inner regional
10601,Lower Hunter,Inner regional
10602,Maitland,Major cities - lower SES
10603,Port Stephens,Inner regional
10604,Upper Hunter,Inner regional
10701,Dapto - Port Kembla,Major cities - lower SES
10702,Illawarra Catchment Reserve,Ungrouped
10703,Kiama - Shellharbour,Major cities - medium SES
10704,Wollongong,Major cities - lower SES
10801,Great Lakes,Inner regional
10802,Kempsey - Nambucca,Outer regional
10803,Lord Howe Island,Remote (incl. very remote)
10804,Port Macquarie,Inner regional
10805,Taree - Gloucester,Inner regional
10901,Albury,Inner regional
10902,Lower Murray,Outer regional
10903,Upper Murray exc. Albury,Inner regional
11001,Armidale,Inner regional
11002,Inverell - Tenterfield,Outer regional
11003,Moree - Narrabri,Outer regional
11004,Tamworth - Gunnedah,Inner regional
11101,Lake Macquarie - East,Major cities - medium SES
11102,Lake Macquarie - West,Major cities - lower SES
11103,Newcastle,Major cities - lower SES
11201,Richmond Valley - Coastal,Inner regional
11202,Richmond Valley - Hinterland,Inner regional
11203,Tweed Valley,Major cities - lower SES
11301,Griffith - Murrumbidgee (West),Outer regional
11302,Tumut - Tumbarumba,Inner regional
11303,Wagga Wagga,Inner regional
11401,Shoalhaven,Inner regional
11402,Southern Highlands,Inner regional
11501,Baulkham Hills,Major cities - higher SES
11502,Dural - Wisemans Ferry,Major cities - higher SES
11503,Hawkesbury,Inner regional
11504,Rouse Hill - McGraths Hill,Major cities - higher SES
11601,Blacktown,Major cities - lower SES
11602,Blacktown - North,Major cities - higher SES
11603,Mount Druitt,Major cities - lower SES
11701,Botany,Major cities - medium SES
11702,Marrickville - Sydenham - Petersham,Major cities - medium SES
