Year,State,SA3 code,SA3 name,SA3 group,Service,Per cent of people who had the service (%),Services per 100 people,Medicare benefits per 100 people ($)
2017-18,NAT,0,National,National,Allied Health subtotal - Mental Health Care,5.06,22.87,"$2,375 "
2017-18,NAT,0,National,National,Clinical Psychologist,2.09,9.36,1193
2017-18,NAT,0,National,National,Other Allied Mental Health,0.41,1.7,$136 
2017-18,NAT,0,National,National,Other Psychologist,2.83,11.81,"$1,045 "
2017-18,NAT,0,National,National,Allied Health subtotal - Optometry,29.25,38.26,"$1,783 "
2017-18,NAT,0,National,National,Allied Health subtotal - Other,5.61,16.81,$905 
2017-18,NAT,0,National,National,Audiology,0.06,0.12,$5 
2017-18,NAT,0,National,National,Diabetes Education,0.25,0.41,$22 
2017-18,NAT,0,National,National,Dietetics,1.07,1.84,$98 
2017-18,NAT,0,National,National,Occupational Therapy,0.13,0.38,$25 
2017-18,NAT,0,National,National,Other Allied Health,0.05,0.07,$4 
2017-18,NAT,0,National,National,Podiatry,4.25,13.19,$701 
2017-18,NAT,0,National,National,Speech Pathology,0.21,0.79,$49 
2017-18,NAT,0,National,National,Allied Health subtotal - Physical Health Care,4.3,14.34,$757 
2017-18,NAT,0,National,National,Chiropractic Services,0.49,1.69,$90 
2017-18,NAT,0,National,National,Exercise Physiology,0.65,1.59,$77 
2017-18,NAT,0,National,National,Osteopathy,0.25,0.79,$42 
2017-18,NAT,0,National,National,Physiotherapy,3.18,10.28,$549 
2017-18,NAT,0,National,National,Allied Health attendances (total),22.49,51.94,"$3,731 "
2017-18,NAT,0,National,National,Allied Health attendances (total),27.56,66.58,"$4,890 "
2017-18,NAT,0,National,National,Allied Health attendances (total),47.17,108.91,"$6,617 "
2017-18,NAT,0,National,National,Allied Health attendances (total),65.79,196.4,"$10,576 "
2017-18,NAT,0,National,National,Allied Health attendances (total),36.64,92.29,"$5,820 "
2017-18,NAT,0,National,National,Allied Health attendances (total),41.78,109.26,"$6,955 "
2017-18,NAT,0,National,National,Allied Health attendances (total),31.42,75.04,"$4,667 "
2017-18,NAT,0,National,National,Diagnostic Imaging (total),22.38,40.41,"$3,721 "
2017-18,NAT,0,National,National,Diagnostic Imaging (total),35.38,83.29,"$9,737 "
2017-18,NAT,0,National,National,Diagnostic Imaging (total),46.81,131.34,"$18,744 "
2017-18,NAT,0,National,National,Diagnostic Imaging (total),62.65,213.3,"$33,738 "
2017-18,NAT,0,National,National,Diagnostic Imaging (total),38.24,101.43,"$13,725 "
2017-18,NAT,0,National,National,Diagnostic Imaging (total),43.62,123.84,"$15,696 "
2017-18,NAT,0,National,National,Diagnostic Imaging (total),32.77,78.66,"$11,722 "
2017-18,NAT,0,National,National,GP After-hours (non-urgent),21.53,43.63,"$2,423 "
2017-18,NAT,0,National,National,GP After-hours (urgent),4.29,6.26,$790 
2017-18,NAT,0,National,National,GP subtotal - After-hours,24.03,49.89,"$3,213 "
2017-18,NAT,0,National,National,GP Chronic Disease Management Plan,14.5,36.4,"$3,837 "
2017-18,NAT,0,National,National,GP Health Assessment,4.07,4.16,$858 
2017-18,NAT,0,National,National,GP Mental Health,8.45,14.41,"$1,179 "
2017-18,NAT,0,National,National,GP Multidisciplinary Case Conference,0.22,0.35,$37 
2017-18,NAT,0,National,National,GP subtotal - Enhanced Primary Care,22.77,55.89,"$5,985 "
2017-18,NAT,0,National,National,Medication Management Review (domiciliary),0.29,0.29,$45 
2017-18,NAT,0,National,National,Medication Management Review (residential),0.27,0.28,$29 
2017-18,NAT,0,National,National,GP Acupuncture,0.34,2.01,$97 
2017-18,NAT,0,National,National,GP Long (Level C),36.39,78.74,"$5,717 "
2017-18,NAT,0,National,National,GP Focussed Psychological Strategies and Family Group Therapy,0.06,0.17,$23 
2017-18,NAT,0,National,National,GP Pregnancy Support Counselling,0.05,0.07,$6 
2017-18,NAT,0,National,National,GP Prolonged - Imminent danger of death,0.07,0.07,$19 
2017-18,NAT,0,National,National,GP Prolonged (Level D),5.02,7.53,$818 
2017-18,NAT,0,National,National,GP Short (Level A),9.67,14.68,$261 
2017-18,NAT,0,National,National,GP Standard (Level B),81.4,395.99,"$14,921 "
2017-18,NAT,0,National,National,GP subtotal - Other,85.79,519.67,"$22,393 "
